seed,firm_id,step,price,wage,employees,inventory,production,capital,profit,revenue,costs,sales,quality,marketing,bankrupt
1002324,firm_9,79,97.45,500.0,80,0,931,6073633.58,148492.68,150852.6,2359.92,1548,0.32,5.7,False
1002324,firm_9,80,97.45,500.0,81,1,942,6121943.59,89310.01,91700.45,2390.44,941,0.32,5.6,False
1002324,firm_9,81,97.45,500.0,82,0,954,6171095.06,90651.47,93064.75,2413.28,955,0.32,5.5,False
1002324,firm_9,82,97.45,500.0,83,567,966,6162701.49,33606.43,38882.55,5276.12,399,0.32,5.4,False
1002324,firm_9,83,87.7,500.0,84,0,977,6253043.65,132942.16,135408.8,2466.64,1544,0.32,5.5,False
1002324,firm_9,84,87.7,500.0,85,0,989,6294284.47,84240.82,86735.3,2494.48,989,0.32,5.4,False
1002324,firm_9,85,87.7,500.0,86,0,1000,6335964.47,85180.0,87700.0,2520.0,1000,0.32,5.3,False
1002324,firm_9,86,87.7,500.0,87,117,1012,6367323.13,75358.66,78491.5,3132.84,895,0.32,5.2,False
1002324,firm_9,87,87.7,500.0,88,0,1023,6420227.77,97404.64,99978.0,2573.36,1140,0.32,5.1,False
1002324,firm_9,88,87.7,500.0,89,236,1035,6441518.87,66291.1,70072.3,3781.2,799,0.32,5.0,False
1002324,firm_9,89,78.93,500.0,90,0,1047,6494557.02,98638.15,101267.19,2629.04,1283,0.32,5.1,False
1002324,firm_9,90,78.93,500.0,91,353,1058,6499783.11,51226.09,55645.65,4419.56,705,0.32,5.0,False
1002324,firm_9,91,71.04,500.0,92,0,1070,6551590.63,98407.52,101089.92,2682.4,1423,0.32,5.1,False
1002324,firm_9,92,71.04,500.0,93,0,1081,6578676.95,74086.32,76794.24,2707.92,1081,0.32,5.0,False
1002324,firm_9,93,71.04,500.0,94,0,1093,6606087.91,74910.96,77646.72,2735.76,1093,0.32,4.9,False
1002324,firm_9,94,71.04,500.0,95,0,1104,6633754.79,75666.88,78428.16,2761.28,1104,0.32,4.8,False
1002324,firm_9,95,71.04,500.0,96,580,1116,6617643.11,32388.32,38077.44,5689.12,536,0.32,4.7,False
1002324,firm_9,96,63.94,500.0,97,0,1127,6674874.05,106330.94,109145.58,2814.64,1707,0.32,4.8,False
1002324,firm_9,97,63.94,500.0,98,511,1139,6660130.89,34756.84,40154.32,5397.48,628,0.32,4.7,False
1002324,firm_9,98,57.55,500.0,99,0,1151,6702808.67,92777.78,95648.1,2870.32,1662,0.32,4.8,False
1002324,firm_9,99,57.55,500.0,100,0,1162,6716285.93,63977.26,66873.1,2895.84,1162,0.32,4.7,False
1002324,firm_9,100,57.55,500.0,101,51,1174,6726735.9,61449.97,64628.65,3178.68,1123,0.32,4.6,False
